Valoper,Uptime,Total Slashes,Tombstoned,Blocks Active,Signed Blocks,Missed Blocks,Proposed Blocks,Delegators,Stake,Self Stake
storyvaloper1enja57p5uhknfynelkkvc64nraeh3hy4p9rxz9,99.93,0,False,18185,18173,12,129,1,24525.0,24525.0
storyvaloper1upyt7dr96p2ffl62ecwypeglqvk7596a3xrmvn,99.93,0,False,21881,21865,16,150,1,23782.0,23782.0
storyvaloper1u0jw7jnesvqr55fxfmjycm5uxv9w6mjtfzkwdf,99.93,0,False,18368,18356,12,103,1,1455.0,1455.0
storyvaloper1l6m9y6l064mp7hvzt3vqg3fnuu6vx0lkn50udf,99.93,0,False,30617,30597,20,196,1,19000.0,19000.0
storyvaloper1qxs6uh58zlh0pc59er06xvj53rz0mn9hpfgv25,99.92,0,False,18111,18097,14,124,1,19900.0,19900.0
storyvaloper1g8lyk7xtfxahjdkta5jcazwc2pz7ht8ucj9wzl,99.92,0,False,71948,71888,60,440,1,26094.0,26094.0
storyvaloper1d4kf8mu5e84xkqespxc87z5ds8yf26t7p3apqd,99.92,0,False,674020,673460,560,7662,116,2587905.0,98848.0
storyvaloper1cn4agxuv5zl96tw3l89w9x89rv6mjcqadcx9y3,99.92,0,False,18157,18143,14,123,1,19998.0,19998.0
storyvaloper1999gqujrmash4r8k256vdgpurd3h7067dvxtun,99.91,0,False,18591,18575,16,115,1,10000.0,10000.0
storyvaloper1spgujf9pjjtp8qrlvuucdd6cxfe7xs7858k7z5,99.91,0,False,18167,18150,17,125,1,22000.0,22000.0
storyvaloper1achxz26kc2mn8458vc2evllnrd9s2mr42vyajk,99.91,0,False,30797,30768,29,202,1,19995.0,19995.0
storyvaloper1jn8fqm7y3kzw0lvc0a8drqlyv6m6vr2rfdhgwu,99.9,0,False,656068,655421,647,4667,113,2882669.0,1050.0
storyvaloper1kz2cgurfhgege6zqnk8vwupwzqcjry0du23g4z,99.9,0,False,674244,673540,704,28452,131,3210296.9,1024.0
storyvaloper1hvavwqtnjw5m3vtkzgm62kwsfjkhwq7h8m4azm,99.9,0,False,673522,672836,686,1711,113,2392443.2,28027.2
storyvaloper17u46ud0a7wty94yyltqpqkr3fdq9ft9rw0wsgs,99.9,0,False,656111,655478,633,4590,113,2637562.0,1050.0
storyvaloper1ymjw6ydnv35t4dn8v8p7sz092z9fgxj8sltyqd,99.89,0,False,656111,655399,712,4558,115,2411233.0,1025.0
storyvaloper16a8rgcx9287q0nusu7frw7n3yrk9hlpn0re0ht,99.89,0,False,51905,51849,56,338,2,25764.0,24740.0
storyvaloper10llgt50kejk7exvsvkr5wysr7vqdrmdmwfd37e,99.88,0,False,18163,18142,21,126,1,24378.0,24378.0
storyvaloper1s4cyy5hasyrmnwcx9rerjuwthu38hna9q8vajc,99.88,0,False,656059,655246,813,4673,116,2580209.5,2048.5
storyvaloper14vnfjngu4y2ywga0aunvtaqupngqt2cr9qwz22,99.88,0,False,674069,673247,822,7759,115,3101622.0,100548.0
storyvaloper1hcndmwxa0dmdvkzxlxlvdxd033n5jcmh6afkjh,99.88,0,False,18177,18155,22,122,1,19990.0,19990.0
storyvaloper1fh06ygln2lndkvnvswrtc9v2j82m58tzceux6u,99.87,0,False,18157,18134,23,121,1,19000.0,19000.0
storyvaloper1ttetgy8a5lcr78py460pm6cjr83jcnud26jff9,99.87,0,False,18131,18107,24,124,1,19900.0,19900.0
storyvaloper1d055v5vthzzf37n5rltkr2luka7xulq95w25a4,99.87,0,False,600691,599895,796,1543,114,2145361.0,38993.0
storyvaloper13hzy82h0cg9xjc0xhc8u28de92ntdjlae3te6u,99.87,0,False,18255,18231,24,121,1,19995.0,19995.0
storyvaloper1rquq9mmuf9wdy04jvlp5ur0f9nkkwxynft3h7y,99.86,0,False,656111,655224,887,4603,114,2353889.0,1025.0
storyvaloper1k0e9hyrnjkkt702sh94pz048t9pncsd3rawhxn,99.86,0,False,656079,655174,905,4606,114,2268932.0,1060.0
storyvaloper1v7v69m6hdz3ydewanqwypzzxekrsqujqydu9n9,99.85,0,False,18176,18148,28,121,1,19000.0,19000.0
storyvaloper1v06kvxy79w02cna4d93c387wzvuewwxnqyxdld,99.84,0,False,656335,655301,1034,4611,115,3122912.0,1024.0
storyvaloper14j90lm6qu2uaux4fkhvg9ftxnl6vff5cegz95r,99.84,0,False,656144,655111,1033,4545,113,2586336.0,1024.0
storyvaloper1pjex68tfp7yh8uvr674z23ae0sv36zxhqzwzj4,99.81,0,False,656074,654832,1242,4589,115,2558689.0,1025.0
storyvaloper1gm8mm8zkcxaz6nnue7j3dhh3fxxjh5nzmfnena,99.81,0,False,64241,64118,123,407,1,24884.0,24884.0
storyvaloper1zqxgv84754uy2nz6axe50vd2us0xgh7gghzrz2,99.8,0,False,656138,654816,1322,4657,116,3158756.0,1024.0
storyvaloper1xthp0asrd4eypxcxc5pxc70ctqpfma88ek3vdj,99.8,0,False,656182,654901,1281,4973,115,2926304.0,1024.0
storyvaloper1pdj0z84lau0l7vf2jl4qs7yggv48p3avy82spr,99.78,0,False,674244,672751,1493,28753,127,4100983.0,1024.0
storyvaloper1z0uqv8xrw2j23mlcpmzatt3jj9hzezdq08ar8t,99.78,0,False,674244,672781,1463,18211,129,2597710.8,8190.0
storyvaloper1tnhycpfuzsm4l7l6t3qsy5j2lged8ec8eyft2k,99.78,0,False,505445,504321,1124,1512,113,2887715.0,27683.0
storyvaloper10ryxkfzlxz9l2e85x37k7lr24vd7hxfwz50w3s,99.78,0,False,656144,654709,1435,4477,114,2072288.0,1024.0
